id_tinka,date,lucky_numbers,check,b_one,b_two,b_three,b_four,b_five,b_six,yapa,sio_si
1193,2025-05-11,46 - 21 - 49 - 45 - 03 - 43,"03, 21, 43, 45, 46, 49",46,21,49,45,3,43,17,20 - 30 - 32 - 44
1192,2025-05-07,48 - 02 - 38 - 50 - 33 - 35,"02, 33, 35, 38, 48, 50",48,2,38,50,33,35,49,20 - 16
1191,2025-05-04,09 - 35 - 19 - 15 - 37 - 10,"09, 10, 15, 19, 35, 37",9,35,19,15,37,10,46,25 - 02 - 38
1190,2025-04-30,11 - 36 - 33 - 06 - 02 - 16,"02, 06, 11, 16, 33, 36",11,36,33,6,2,16,37,14 - 07 - 10 - 01
1189,2025-04-27,46 - 33 - 21 - 08 - 07 - 41,"07, 08, 21, 33, 41, 46",46,33,21,8,7,41,39,36 - 09 - 37
1188,2025-04-23,22 - 16 - 20 - 33 - 35 - 09,"09, 16, 20, 22, 33, 35",22,16,20,33,35,9,46,24
1187,2025-04-20,33 - 02 - 06 - 42 - 34 - 11,"02, 06, 11, 33, 34, 42",33,2,6,42,34,11,37,49 - 20
1186,2025-04-16,14 - 31 - 46 - 38 - 48 - 12,"12, 14, 31, 38, 46, 48",14,31,46,38,48,12,15,39 - 30
1185,2025-04-13,22 - 36 - 39 - 48 - 46 - 44,"22, 36, 39, 44, 46, 48",22,36,39,48,46,44,28,09 - 40
1184,2025-04-09,35 - 24 - 49 - 01 - 12 - 39,"01, 12, 24, 35, 39, 49",35,24,49,1,12,39,21,13 - 07 - 26
1183,2025-04-06,34 - 42 - 05 - 49 - 16 - 27,"05, 16, 27, 34, 42, 49",34,42,5,49,16,27,29,37
1182,2025-04-02,46 - 10 - 23 - 31 - 40 - 22,"10, 22, 23, 31, 40, 46",46,10,23,31,40,22,50,03 - 13 - 25
1181,2025-03-30,46 - 29 - 25 - 31 - 28 - 47,"25, 28, 29, 31, 46, 47",46,29,25,31,28,47,13,18 - 34 - 23
1180,2025-03-26,43 - 01 - 05 - 37 - 35 - 13,"01, 05, 13, 35, 37, 43",43,1,5,37,35,13,39,38 - 07 - 45 - 16
1179,2025-03-23,24 - 07 - 18 - 03 - 37 - 49,"03, 07, 18, 24, 37, 49",24,7,18,3,37,49,43,50 - 28
1178,2025-03-19,32 - 41 - 42 - 37 - 34 - 04,"04, 32, 34, 37, 41, 42",32,41,42,37,34,4,48,07 - 46 - 19
1177,2025-03-16,15 - 30 - 49 - 12 - 05 - 27,"05, 12, 15, 27, 30, 49",15,30,49,12,5,27,23,24
1176,2025-03-12,44 - 34 - 07 - 17 - 16 - 32,"07, 16, 17, 32, 34, 44",44,34,7,17,16,32,11,47 - 40
1175,2025-03-09,01 - 42 - 44 - 20 - 38 - 23,"01, 20, 23, 38, 42, 44",1,42,44,20,38,23,14,35 - 36 - 34 - 45 - 41
1174,2025-03-05,01 - 32 - 03 - 12 - 28 - 47,"01, 03, 12, 28, 32, 47",1,32,3,12,28,47,20,49 - 06 - 23 - 24
1173,2025-03-02,39 - 09 - 28 - 46 - 18 - 44,"09, 18, 28, 39, 44, 46",39,9,28,46,18,44,15,30 - 04 - 14
1172,2025-02-26,23 - 16 - 12 - 25 - 13 - 21,"12, 13, 16, 21, 23, 25",23,16,12,25,13,21,22,10 - 32
1171,2025-02-23,10 - 44 - 30 - 05 - 08 - 36,"05, 08, 10, 30, 36, 44",10,44,30,5,8,36,25,47 - 02 - 23
1170,2025-02-19,44 - 02 - 19 - 47 - 29 - 31,"02, 19, 29, 31, 44, 47",44,2,19,47,29,31,21,32 - 14 - 35
1169,2025-02-16,16 - 22 - 34 - 11 - 06 - 45,"06, 11, 16, 22, 34, 45",16,22,34,11,6,45,26,39 - 50
1168,2025-02-12,23 - 18 - 32 - 33 - 24 - 44,"18, 23, 24, 32, 33, 44",23,18,32,33,24,44,48,02 - 27 - 07
1167,2025-02-09,34 - 03 - 46 - 35 - 33 - 12,"03, 12, 33, 34, 35, 46",34,3,46,35,33,12,18,44 - 06 - 41
1166,2025-02-05,19 - 12 - 27 - 33 - 24 - 30,"12, 19, 24, 27, 30, 33",19,12,27,33,24,30,17,07
1165,2025-02-02,20 - 48 - 14 - 12 - 28 - 04,"04, 12, 14, 20, 28, 48",20,48,14,12,28,4,2,40
1164,2025-01-29,33 - 23 - 17 - 13 - 24 - 12,"12, 13, 17, 23, 24, 33",33,23,17,13,24,12,26,38 - 39 - 28 - 29
1163,2025-01-26,33 - 26 - 35 - 30 - 13 - 18,"13, 18, 26, 30, 33, 35",33,26,35,30,13,18,5,27 - 10
1162,2025-01-22,21 - 10 - 49 - 31 - 32 - 06,"06, 10, 21, 31, 32, 49",21,10,49,31,32,6,14,39 - 29 - 36
1161,2025-01-19,23 - 44 - 45 - 05 - 02 - 01,"01, 02, 05, 23, 44, 45",23,44,45,5,2,1,16,24 - 19
1160,2025-01-15,36 - 16 - 47 - 38 - 19 - 46,"16, 19, 36, 38, 46, 47",36,16,47,38,19,46,32,18 - 24 - 43 - 08
1159,2025-01-12,49 - 32 - 41 - 44 - 26 - 34,"26, 32, 34, 41, 44, 49",49,32,41,44,26,34,14,43
1158,2025-01-08,40 - 25 - 24 - 47 - 20 - 44,"20, 24, 25, 40, 44, 47",40,25,24,47,20,44,31,46 - 30 - 09
1157,2025-01-05,18 - 49 - 45 - 13 - 35 - 22,"13, 18, 22, 35, 45, 49",18,49,45,13,35,22,21,19 - 07 - 36 - 08
1156,2025-01-01,33 - 24 - 09 - 38 - 22 - 46,"09, 22, 24, 33, 38, 46",33,24,9,38,22,46,15,
1155,2024-12-29,49 - 41 - 29 - 50 - 35 - 42,"29, 35, 41, 42, 49, 50",49,41,29,50,35,42,3,08 - 07 - 31
1154,2024-12-25,14 - 39 - 24 - 02 - 05 - 15,"02, 05, 14, 15, 24, 39",14,39,24,2,5,15,44,48 - 27 - 34 - 38
1153,2024-12-22,17 - 02 - 49 - 40 - 24 - 01,"01, 02, 17, 24, 40, 49",17,2,49,40,24,1,45,14 - 22 - 05
1152,2024-12-18,22 - 28 - 33 - 19 - 47 - 35,"19, 22, 28, 33, 35, 47",22,28,33,19,47,35,44,13 - 32
1151,2024-12-15,48 - 26 - 45 - 08 - 06 - 04,"04, 06, 08, 26, 45, 48",48,26,45,8,6,4,44,15 - 29
1150,2024-12-11,43 - 04 - 39 - 31 - 10 - 46,"04, 10, 31, 39, 43, 46",43,4,39,31,10,46,6,36 - 07 - 22
1149,2024-12-08,44 - 08 - 45 - 43 - 26 - 17,"08, 17, 26, 43, 44, 45",44,8,45,43,26,17,29,37 - 15 - 36
1148,2024-12-04,17 - 29 - 20 - 38 - 02 - 36,"02, 17, 20, 29, 36, 38",17,29,20,38,2,36,26,33 - 01 - 05
1147,2024-12-01,42 - 09 - 27 - 12 - 35 - 15,"09, 12, 15, 27, 35, 42",42,9,27,12,35,15,13,48 - 43 - 03 - 08
1146,2024-11-27,23 - 05 - 17 - 09 - 34 - 13,"05, 09, 13, 17, 23, 34",23,5,17,9,34,13,22,19 - 47
1145,2024-11-24,46 - 05 - 45 - 19 - 29 - 26,"05, 19, 26, 29, 45, 46",46,5,45,19,29,26,18,03 - 25
1144,2024-11-20,36 - 27 - 28 - 26 - 29 - 03,"03, 26, 27, 28, 29, 36",36,27,28,26,29,3,10,44 - 39 - 45
1143,2024-11-17,11 - 37 - 07 - 46 - 42 - 15,"07, 11, 15, 37, 42, 46",11,37,7,46,42,15,23,24 - 01 - 08
1142,2024-11-13,49 - 19 - 35 - 09 - 17 - 18,"09, 17, 18, 19, 35, 49",49,19,35,9,17,18,45,34
1141,2024-11-10,41 - 38 - 46 - 09 - 40 - 31,"09, 31, 38, 40, 41, 46",41,38,46,9,40,31,18,13 - 33 - 07
1140,2024-11-06,46 - 02 - 17 - 48 - 15 - 40,"02, 15, 17, 40, 46, 48",46,2,17,48,15,40,33,11 - 14 - 07 - 10
1139,2024-11-03,04 - 24 - 37 - 36 - 14 - 02,"02, 04, 14, 24, 36, 37",4,24,37,36,14,2,3,50 - 12 - 42 - 10
1138,2024-10-30,42 - 15 - 22 - 09 - 07 - 18,"07, 09, 15, 18, 22, 42",42,15,22,9,7,18,21,44 - 28
1137,2024-10-27,06 - 27 - 32 - 16 - 24 - 47,"06, 16, 24, 27, 32, 47",6,27,32,16,24,47,42,33 - 34
1136,2024-10-23,28 - 09 - 16 - 01 - 46 - 40,"01, 09, 16, 28, 40, 46",28,9,16,1,46,40,50,37 - 41 - 27
1135,2024-10-20,08 - 50 - 24 - 33 - 10 - 15,"08, 10, 15, 24, 33, 50",8,50,24,33,10,15,49,25 - 01 - 14
1134,2024-10-16,29 - 31 - 08 - 47 - 12 - 10,"08, 10, 12, 29, 31, 47",29,31,8,47,12,10,50,41 - 33
1133,2024-10-13,31 - 17 - 28 - 09 - 21 - 05,"05, 09, 17, 21, 28, 31",31,17,28,9,21,5,8,22 - 27
1132,2024-10-09,15 - 20 - 48 - 37 - 27 - 23,"15, 20, 23, 27, 37, 48",15,20,48,37,27,23,39,07 - 38 - 19
1131,2024-10-06,14 - 09 - 02 - 25 - 08 - 06,"02, 06, 08, 09, 14, 25",14,9,2,25,8,6,44,05 - 19 - 15
1130,2024-10-02,47 - 50 - 20 - 13 - 43 - 17,"13, 17, 20, 43, 47, 50",47,50,20,13,43,17,33,42 - 16 - 45 - 08
1129,2024-09-29,43 - 47 - 26 - 35 - 15 - 12,"12, 15, 26, 35, 43, 47",43,47,26,35,15,12,45,08 - 04 - 06
1128,2024-09-25,39 - 24 - 38 - 50 - 18 - 06,"06, 18, 24, 38, 39, 50",39,24,38,50,18,6,15,23 - 45 - 49 - 44
1127,2024-09-22,20 - 37 - 48 - 17 - 38 - 04,"04, 17, 20, 37, 38, 48",20,37,48,17,38,4,45,01 - 44
1126,2024-09-18,26 - 10 - 34 - 37 - 21 - 32,"10, 21, 26, 32, 34, 37",26,10,34,37,21,32,45,20 - 15
1125,2024-09-15,36 - 43 - 29 - 01 - 03 - 38,"01, 03, 29, 36, 38, 43",36,43,29,1,3,38,25,19 - 18 - 35 - 02
1124,2024-09-11,04 - 41 - 07 - 28 - 29 - 46,"04, 07, 28, 29, 41, 46",4,41,7,28,29,46,20,11
1123,2024-09-08,15 - 35 - 14 - 07 - 18 - 23,"07, 14, 15, 18, 23, 35",15,35,14,7,18,23,50,33 - 46
1122,2024-09-04,50 - 30 - 04 - 09 - 15 - 40,"04, 09, 15, 30, 40, 50",50,30,4,9,15,40,31,29 - 16 - 32
1121,2024-09-01,23 - 50 - 41 - 19 - 04 - 37,"04, 19, 23, 37, 41, 50",23,50,41,19,4,37,28,09 - 06
1120,2024-08-28,11 - 37 - 46 - 47 - 06 - 03,"03, 06, 11, 37, 46, 47",11,37,46,47,6,3,29,14 - 09 - 05 - 40
1119,2024-08-25,49 - 01 - 42 - 14 - 27 - 36,"01, 14, 27, 36, 42, 49",49,1,42,14,27,36,5,21 - 45
1118,2024-08-21,40 - 25 - 27 - 28 - 39 - 30,"25, 27, 28, 30, 39, 40",40,25,27,28,39,30,11,09 - 01 - 47 - 07
1117,2024-08-18,47 - 16 - 46 - 15 - 40 - 36,"15, 16, 36, 40, 46, 47",47,16,46,15,40,36,27,14 - 33 - 44
1116,2024-08-14,06 - 39 - 46 - 40 - 15 - 26,"06, 15, 26, 39, 40, 46",6,39,46,40,15,26,2,05
1115,2024-08-11,47 - 50 - 12 - 38 - 18 - 43,"12, 18, 38, 43, 47, 50",47,50,12,38,18,43,6,27 - 45 - 04 - 11
1114,2024-08-07,10 - 38 - 36 - 18 - 32 - 14,"10, 14, 18, 32, 36, 38",10,38,36,18,32,14,33,31 - 29 - 42 - 28
1113,2024-08-04,38 - 17 - 02 - 36 - 41 - 43,"02, 17, 36, 38, 41, 43",38,17,2,36,41,43,47,50 - 26
1112,2024-07-31,37 - 07 - 28 - 12 - 22 - 29,"07, 12, 22, 28, 29, 37",37,7,28,12,22,29,43,01 - 40 - 36 - 25
1111,2024-07-28,19 - 14 - 25 - 03 - 08 - 26,"03, 08, 14, 19, 25, 26",19,14,25,3,8,26,50,
1110,2024-07-24,23 - 32 - 28 - 19 - 38 - 25,"19, 23, 25, 28, 32, 38",23,32,28,19,38,25,40,03
1109,2024-07-21,39 - 25 - 11 - 26 - 30 - 47,"11, 25, 26, 30, 39, 47",39,25,11,26,30,47,19,21 - 34
1108,2024-07-17,40 - 47 - 01 - 43 - 19 - 38,"01, 19, 38, 40, 43, 47",40,47,1,43,19,38,16,05 - 17 - 35 - 32
1107,2024-07-14,43 - 03 - 34 - 05 - 42 - 26,"03, 05, 26, 34, 42, 43",43,3,34,5,42,26,29,08 - 33
1106,2024-07-10,02 - 30 - 40 - 22 - 21 - 01,"01, 02, 21, 22, 30, 40",2,30,40,22,21,1,6,44 - 19 - 23
1105,2024-07-07,07 - 22 - 34 - 20 - 19 - 09,"07, 09, 19, 20, 22, 34",7,22,34,20,19,9,32,17 - 02 - 35
1104,2024-07-03,14 - 22 - 34 - 06 - 24 - 01,"01, 06, 14, 22, 24, 34",14,22,34,6,24,1,7,48 - 39 - 12
1103,2024-06-30,48 - 38 - 15 - 42 - 13 - 34,"13, 15, 34, 38, 42, 48",48,38,15,42,13,34,11,44 - 41 - 12 - 10
1102,2024-06-26,43 - 06 - 14 - 01 - 09 - 11,"01, 06, 09, 11, 14, 43",43,6,14,1,9,11,30,17 - 42 - 45 - 20
1101,2024-06-23,30 - 41 - 11 - 05 - 36 - 35,"05, 11, 30, 35, 36, 41",30,41,11,5,36,35,15,44 - 26
1100,2024-06-19,37 - 31 - 21 - 15 - 09 - 27,"09, 15, 21, 27, 31, 37",37,31,21,15,9,27,6,32 - 48
1099,2024-06-16,08 - 46 - 19 - 02 - 23 - 21,"02, 08, 19, 21, 23, 46",8,46,19,2,23,21,28,42 - 27
1098,2024-06-12,03 - 11 - 48 - 08 - 32 - 16,"03, 08, 11, 16, 32, 48",3,11,48,8,32,16,9,23
